titulo,duracionEnMinutos,genero,likes
Funny Cats,1,Comedy,120000
Dance Trends 2024,2,Dance,450000
Epic Fails Compilation,3,Humor,320000
Cooking Hacks,2,Food,220000
Travel Destinations,1,Travel,180000
Gaming Highlights,4,Gaming,250000
Fitness Motivation,2,Health,300000
DIY Projects,3,Lifestyle,275000
Makeup Tutorial,2,Beauty,200000
Pet Tricks,1,Animals,150000
Science Experiments,3,Education,280000
Sports Highlights,2,Sports,330000
Motivational Speech,1,Inspiration,170000
Technology Reviews,4,Tech,210000
Movie Trailers,3,Entertainment,310000